Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
DDD,3D Systems Corporation,8.98,$1.06B,n/a,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/ddd
MMM,3M Company,178.47,$102.63B,n/a,Health Care,Medical/Dental Instruments,https://old.nasdaq.com/symbol/mmm
WBAI,500.com Limited,8.95,$384.83M,2013,Consumer Services,Services-Misc. Amusement & Recreation,https://old.nasdaq.com/symbol/wbai
WUBA,58.com Inc.,65.85,$9.85B,2013,Technology,"Computer Software: Programming, Data Processing",https://old.nasdaq.com/symbol/wuba
EGHT,8x8 Inc,18.38,$1.84B,n/a,Technology,EDP Services,https://old.nasdaq.com/symbol/eght
AHC,A.H. Belo Corporation,2.96,$63.53M,n/a,Consumer Services,Newspapers/Magazines,https://old.nasdaq.com/symbol/ahc
AOS,A.O Smith Corporation,47.14,$7.69B,n/a,Consumer Durables,Consumer Electronics/Appliances,https://old.nasdaq.com/symbol/aos
ATEN,"A10 Networks, Inc.",6.93,$532.35M,2014,Technology,Computer Communications Equipment,https://old.nasdaq.com/symbol/aten
AIR,AAR Corp.,47.98,$1.68B,n/a,Capital Goods,Aerospace,https://old.nasdaq.com/symbol/air
AAN,"Aaron&#39;s,  Inc.",58.25,$3.91B,n/a,Technology,Diversified Commercial Services,https://old.nasdaq.com/symbol/aan
ABB,ABB Ltd,23.96,$51.1B,n/a,Consumer Durables,Electrical Products,https://old.nasdaq.com/symbol/abb
ABT,Abbott Laboratories,87.35,$154.47B,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/abt
ABBV,AbbVie Inc.,90.25,$133.46B,2012,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/abbv
ANF,Abercrombie & Fitch Company,16.67,$1.05B,n/a,Consumer Services,Clothing/Shoe/Accessory Stores,https://old.nasdaq.com/symbol/anf
AGD,Aberdeen Global Dynamic Dividend Fund,10.4,$130.52M,2006,n/a,n/a,https://old.nasdaq.com/symbol/agd
AWP,Aberdeen Global Premier Properties Fund,6.5,$555.15M,2007,n/a,n/a,https://old.nasdaq.com/symbol/awp
ACP,Aberdeen Income Credit Strategies Fund,11.62,$151.92M,2011,n/a,n/a,https://old.nasdaq.com/symbol/acp
JEQ,"Aberdeen Japan Equity Fund, Inc. ",8.03,$107.65M,1992,n/a,n/a,https://old.nasdaq.com/symbol/jeq
AOD,Aberdeen Total Dynamic Dividend Fund,8.91,$939.84M,2007,n/a,n/a,https://old.nasdaq.com/symbol/aod
ABM,ABM Industries Incorporated,37.74,$2.51B,n/a,Finance,Diversified Commercial Services,https://old.nasdaq.com/symbol/abm
AKR,Acadia Realty Trust,25.76,$2.24B,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/akr
ACEL,"Accel Entertainment, Inc.",12.2,$2.65B,2017,Consumer Services,Services-Misc. Amusement & Recreation,https://old.nasdaq.com/symbol/acel
ACEL.WS,"Accel Entertainment, Inc.",n/a,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/acel.ws
ACN,Accenture plc,210.83,$134.08B,2001,Miscellaneous,Business Services,https://old.nasdaq.com/symbol/acn
ACCO,Acco Brands Corporation,9.53,$924.28M,n/a,Consumer Durables,Publishing,https://old.nasdaq.com/symbol/acco
ATV,"Acorn International, Inc.",17.993,$46.44M,2007,Consumer Services,Other Specialty Stores,https://old.nasdaq.com/symbol/atv
EPAC,Actuant Corporation,27.09,$1.62B,n/a,Technology,Industrial Machinery/Components,https://old.nasdaq.com/symbol/epac
AYI,"Acuity Brands, Inc. ",137.06,$5.43B,n/a,Consumer Durables,Building Products,https://old.nasdaq.com/symbol/ayi
GOLF,Acushnet Holdings Corp.,32.65,$2.45B,2016,Consumer Non-Durables,Recreational Products/Toys,https://old.nasdaq.com/symbol/golf
ADX,"Adams Diversified Equity Fund, Inc.",15.89,$1.68B,n/a,n/a,n/a,https://old.nasdaq.com/symbol/adx
PEO,"Adams Natural Resources Fund, Inc.",16.11,$475.8M,n/a,n/a,n/a,https://old.nasdaq.com/symbol/peo
AGRO,Adecoagro S.A.,8.45,$992.74M,2011,Consumer Non-Durables,Farming/Seeds/Milling,https://old.nasdaq.com/symbol/agro
ADNT,Adient plc,21.15,$1.98B,2016,Capital Goods,Auto Parts:O.E.M.,https://old.nasdaq.com/symbol/adnt
ADT,ADT Inc.,7.76,$5.85B,2018,Consumer Services,Diversified Commercial Services,https://old.nasdaq.com/symbol/adt
ATGE,Adtalem Global Education Inc.,34.55,$1.87B,n/a,Consumer Services,Other Consumer Services,https://old.nasdaq.com/symbol/atge
AAP,Advance Auto Parts Inc,159.97,$11.08B,n/a,Consumer Services,Other Specialty Stores,https://old.nasdaq.com/symbol/aap
ADSW,"Advanced Disposal Services, Inc.",32.95,$2.95B,2016,Public Utilities,Environmental Services,https://old.nasdaq.com/symbol/adsw
WMS,"Advanced Drainage Systems, Inc.",39.25,$2.68B,2014,Capital Goods,Containers/Packaging,https://old.nasdaq.com/symbol/wms
ASIX,AdvanSix Inc.,20.52,$572.76M,2016,Basic Industries,Major Chemicals,https://old.nasdaq.com/symbol/asix
AVK,Advent Convertible and Income Fund,15.43,$532.72M,2003,n/a,n/a,https://old.nasdaq.com/symbol/avk
ACM,AECOM,43.84,$6.89B,2007,Consumer Services,Military/Government/Technical,https://old.nasdaq.com/symbol/acm
AEFC,Aegon Funding Company LLC,25.89,n/a,2019,Finance,Life Insurance,https://old.nasdaq.com/symbol/aefc
AEB,Aegon NV,24.71,n/a,n/a,Finance,Life Insurance,https://old.nasdaq.com/symbol/aeb
AEG,Aegon NV,4.52,$9.08B,n/a,Finance,Life Insurance,https://old.nasdaq.com/symbol/aeg
AER,Aercap Holdings N.V.,62.11,$8.33B,2006,Technology,Diversified Commercial Services,https://old.nasdaq.com/symbol/aer
AJRD,"Aerojet Rocketdyne Holdings, Inc. ",45.97,$3.62B,n/a,Capital Goods,Military/Government/Technical,https://old.nasdaq.com/symbol/ajrd
AMG,"Affiliated Managers Group, Inc.",85.73,$4.22B,n/a,Finance,Investment Managers,https://old.nasdaq.com/symbol/amg
MGR,"Affiliated Managers Group, Inc.",27.47,n/a,2019,Finance,Investment Managers,https://old.nasdaq.com/symbol/mgr
AFL,Aflac Incorporated,52.54,$38.57B,n/a,Finance,Accident &Health Insurance,https://old.nasdaq.com/symbol/afl
MITT,"AG Mortgage Investment Trust, Inc.",15.84,$518.64M,2011,n/a,n/a,https://old.nasdaq.com/symbol/mitt
MITT^A,"AG Mortgage Investment Trust, Inc.",25.6114,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/mitt^a
MITT^B,"AG Mortgage Investment Trust, Inc.",25.37,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/mitt^b
MITT^C,"AG Mortgage Investment Trust, Inc.",26.38,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/mitt^c
AGCO,AGCO Corporation,77.77,$5.87B,n/a,Capital Goods,Industrial Machinery/Components,https://old.nasdaq.com/symbol/agco
A,"Agilent Technologies, Inc.",85.26,$26.35B,1999,Capital Goods,Biotechnology: Laboratory Analytical Instruments,https://old.nasdaq.com/symbol/a
AEM,Agnico Eagle Mines Limited,59.73,$14.32B,n/a,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/aem
ADC,Agree Realty Corporation,68.42,$2.9B,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/adc
AL,Air Lease Corporation,48.1,$5.37B,2011,Technology,Diversified Commercial Services,https://old.nasdaq.com/symbol/al
AL^A,Air Lease Corporation,27.14,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/al^a
APD,"Air Products and Chemicals, Inc.",235.14,$51.85B,n/a,Basic Industries,Major Chemicals,https://old.nasdaq.com/symbol/apd
AYR,Aircastle Limited,31.98,$2.39B,2006,Technology,Diversified Commercial Services,https://old.nasdaq.com/symbol/ayr
AKS,AK Steel Holding Corporation,3.25,$1.03B,n/a,Basic Industries,Steel/Iron Ore,https://old.nasdaq.com/symbol/aks
ALP^Q,Alabama Power Company,27,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/alp^q
ALG,"Alamo Group, Inc.",122.05,$1.44B,n/a,Capital Goods,Industrial Machinery/Components,https://old.nasdaq.com/symbol/alg
AGI,Alamos Gold Inc.,5.65,$2.21B,2015,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/agi
ALK,"Alaska Air Group, Inc.",69.29,$8.53B,n/a,Transportation,Air Freight/Delivery Services,https://old.nasdaq.com/symbol/alk
AIN,Albany International Corporation,77.22,$2.49B,n/a,Basic Industries,Textiles,https://old.nasdaq.com/symbol/ain
ALB,Albemarle Corporation,72.43,$7.68B,n/a,Basic Industries,Major Chemicals,https://old.nasdaq.com/symbol/alb
AA,Alcoa Corporation,21.48,$3.99B,2016,Basic Industries,Aluminum,https://old.nasdaq.com/symbol/aa
ALC,Alcon Inc.,57.21,$27.93B,2019,Health Care,Ophthalmic Goods,https://old.nasdaq.com/symbol/alc
ALEX,"Alexander & Baldwin, Inc.",20.53,$1.48B,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/alex
ALX,"Alexander&#39;s, Inc.",327.99,$1.68B,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/alx
ARE,"Alexandria Real Estate Equities, Inc.",159.21,$18.33B,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/are
AQN,Algonquin Power & Utilities Corp.,14.09,$7.39B,2016,Public Utilities,Electric Utilities: Central,https://old.nasdaq.com/symbol/aqn
AQNA,Algonquin Power & Utilities Corp.,28.18,n/a,2018,Public Utilities,Electric Utilities: Central,https://old.nasdaq.com/symbol/aqna
AQNB,Algonquin Power & Utilities Corp.,27.98,n/a,2019,Public Utilities,Electric Utilities: Central,https://old.nasdaq.com/symbol/aqnb
BABA,Alibaba Group Holding Limited,214.83,$576.33B,2014,Miscellaneous,Business Services,https://old.nasdaq.com/symbol/baba
Y,Alleghany Corporation,794.49,$11.44B,n/a,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/y
ATI,Allegheny Technologies Incorporated,21.14,$2.67B,n/a,Basic Industries,Steel/Iron Ore,https://old.nasdaq.com/symbol/ati
ALLE,Allegion plc,123.42,$11.47B,2013,Consumer Services,Diversified Commercial Services,https://old.nasdaq.com/symbol/alle
AGN,Allergan plc.,191.53,$62.87B,2013,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/agn
ALE,"Allete, Inc.",80.5,$4.16B,n/a,Public Utilities,Power Generation,https://old.nasdaq.com/symbol/ale
ADS,Alliance Data Systems Corporation,111.47,$5.13B,2001,Miscellaneous,Business Services,https://old.nasdaq.com/symbol/ads
AFB,Alliance National Municipal Income Fund Inc,13.87,$398.69M,2002,n/a,n/a,https://old.nasdaq.com/symbol/afb
AWF,Alliance World Dollar Government Fund II,12.13,$1.05B,1993,n/a,n/a,https://old.nasdaq.com/symbol/awf
AB,AllianceBernstein Holding L.P.,30.1,$2.89B,n/a,Finance,Investment Managers,https://old.nasdaq.com/symbol/ab
AIO,AllianzGI Artificial Intelligence & Tech Opp Fd,19.99,$614.69M,2019,n/a,n/a,https://old.nasdaq.com/symbol/aio
CBH,AllianzGI Convertible & Income 2024 Target Term Fund,9.68,$176.73M,2017,n/a,n/a,https://old.nasdaq.com/symbol/cbh
NCV,AllianzGI Convertible & Income Fund,5.74,$518.06M,2003,n/a,n/a,https://old.nasdaq.com/symbol/ncv
NCV^A,AllianzGI Convertible & Income Fund,26.23,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/ncv^a
NCZ,AllianzGI Convertible & Income Fund II,5.11,$387.99M,2003,n/a,n/a,https://old.nasdaq.com/symbol/ncz
NCZ^A,AllianzGI Convertible & Income Fund II,25.78,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/ncz^a
ACV,AllianzGI Diversified Income & Convertible Fund,25,$258.71M,2015,n/a,n/a,https://old.nasdaq.com/symbol/acv
NIE,AllianzGI Equity & Convertible Income Fund,23.13,$640.91M,2007,n/a,n/a,https://old.nasdaq.com/symbol/nie
NFJ,"AllianzGI NFJ Dividend, Interest & Premium Strategy Fund",13.04,$1.24B,2005,Finance,Finance: Consumer Services,https://old.nasdaq.com/symbol/nfj
ALSN,"Allison Transmission Holdings, Inc.",48.96,$5.84B,2012,Capital Goods,Auto Parts:O.E.M.,https://old.nasdaq.com/symbol/alsn
ALL,Allstate Corporation (The),110.88,$35.92B,n/a,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/all
ALL^A.CL,Allstate Corporation (The),n/a,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/all^a.cl
ALL^B,Allstate Corporation (The),26.81,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/all^b
ALL^G,Allstate Corporation (The),27.78,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/all^g
ALL^H,Allstate Corporation (The),26.12,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/all^h
ALL^I,Allstate Corporation (The),25.66,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/all^i
ALLY,Ally Financial Inc.,30.8,$11.71B,2014,Finance,Major Banks,https://old.nasdaq.com/symbol/ally
ALLY^A,Ally Financial Inc.,26.08,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/ally^a
PINE,"Alpine Income Property Trust, Inc.",18.86,$172.13M,2019,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/pine
AYX,"Alteryx, Inc.",102.88,$6.7B,2017,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/ayx
ATUS,"Altice USA, Inc.",26.85,$17.1B,2017,Consumer Services,Television Services,https://old.nasdaq.com/symbol/atus
MO,Altria Group,51.55,$96.3B,n/a,Consumer Non-Durables,Farming/Seeds/Milling,https://old.nasdaq.com/symbol/mo
ACH,Aluminum Corporation of China Limited,8.2,$5.58B,2001,Basic Industries,Aluminum,https://old.nasdaq.com/symbol/ach
ALUS.U,Alussa Energy Acquisition Corp.,n/a,n/a,2019,n/a,n/a,https://old.nasdaq.com/symbol/alus.u
ABEV,Ambev S.A.,4.58,$72.05B,2013,Consumer Non-Durables,Beverages (Production/Distribution),https://old.nasdaq.com/symbol/abev
AMC,"AMC Entertainment Holdings, Inc.",7.32,$760.18M,2013,Consumer Services,Movies/Entertainment,https://old.nasdaq.com/symbol/amc
AMCR,Amcor plc,10.91,$17.68B,2019,Consumer Durables,Miscellaneous manufacturing industries,https://old.nasdaq.com/symbol/amcr
AEE,Ameren Corporation,75.64,$18.61B,n/a,Public Utilities,Power Generation,https://old.nasdaq.com/symbol/aee
AMRC,"Ameresco, Inc.",16.84,$792.04M,2010,Basic Industries,Engineering & Construction,https://old.nasdaq.com/symbol/amrc
AMOV,"America Movil, S.A.B. de C.V.",16.06,$53B,n/a,Public Utilities,Telecommunications Equipment,https://old.nasdaq.com/symbol/amov
AMX,"America Movil, S.A.B. de C.V.",16.06,$53B,n/a,Public Utilities,Telecommunications Equipment,https://old.nasdaq.com/symbol/amx
AAT,"American Assets Trust, Inc.",44.8,$2.69B,2011,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/aat
