대분류,중분료,업종명,종목명,종목코드,비고
주식,유가,KOSPI,삼성전자,'005930,
주식,유가,KOSPI,현대차,'005380,
주식,유가,KOSPI,SK하이닉스,'000660,
주식,유가,KOSPI,현대모비스,'012330,
주식,유가,KOSPI,NAVER,'035420,
주식,유가,KOSPI,POSCO,'005490,
주식,유가,KOSPI,한국전력,'015760,
주식,유가,KOSPI,삼성전자우,'005935,
주식,유가,KOSPI,기아차,'000270,
주식,유가,KOSPI,삼성생명,'032830,
주식,유가,KOSPI,신한지주,'055550,
주식,유가,KOSPI,LG화학,'051910,
주식,유가,KOSPI,SK텔레콤,'017670,
주식,유가,KOSPI,현대중공업,'009540,
주식,유가,KOSPI,KB금융,'105560,
주식,유가,KOSPI,LG전자,'066570,
주식,유가,KOSPI,삼성화재,'000810,
주식,유가,KOSPI,KT&G,'033780,
주식,유가,KOSPI,삼성물산,'000830,
주식,유가,KOSPI,하나금융지주,'086790,
주식,유가,KOSPI,LG,'003550,
주식,유가,KOSPI,LG디스플레이,'034220,
주식,유가,KOSPI,SK이노베이션,'096770,
주식,유가,KOSPI,현대글로비스,'086280,
주식,유가,KOSPI,롯데쇼핑,'023530,
주식,유가,KOSPI,우리금융,'053000,
주식,유가,KOSPI,현대제철,'004020,
주식,유가,KOSPI,아모레퍼시픽,'090430,
주식,유가,KOSPI,SK,'003600,
주식,유가,KOSPI,SK C&C,'034730,
주식,유가,KOSPI,KT,'030200,
주식,유가,KOSPI,한국타이어,'161390,
주식,유가,KOSPI,삼성SDI,'006400,
주식,유가,KOSPI,기업은행,'024110,
주식,유가,KOSPI,LG생활건강,'051900,
주식,유가,KOSPI,고려아연,'010130,
주식,유가,KOSPI,KCC,'002380,
주식,유가,KOSPI,이마트,'139480,
주식,유가,KOSPI,S-Oil,'010950,
주식,유가,KOSPI,코웨이,'021240,
주식,유가,KOSPI,삼성중공업,'010140,
주식,유가,KOSPI,롯데케미칼,'011170,
주식,유가,KOSPI,강원랜드,'035250,
주식,유가,KOSPI,현대차2우B,'005387,
주식,유가,KOSPI,현대건설,'000720,
주식,유가,KOSPI,아모레G,'002790,
주식,유가,KOSPI,한화생명,'088350,
주식,유가,KOSPI,한국가스공사,'036460,
주식,유가,KOSPI,오리온,'001800,
주식,유가,KOSPI,대우조선해양,'042660,
주식,유가,KOSPI,삼성카드,'029780,
주식,유가,KOSPI,한라비스테온공조,'018880,
주식,유가,KOSPI,현대위아,'011210,
주식,유가,KOSPI,CJ제일제당,'097950,
주식,유가,KOSPI,삼성전기,'009150,
주식,유가,KOSPI,CJ,'001040,
주식,유가,KOSPI,OCI,'010060,
주식,유가,KOSPI,GS,'078930,
주식(ETF),유가,KOSPI,KODEX 200,'069500,
주식,유가,KOSPI,LG유플러스,'032640,
주식,유가,KOSPI,엔씨소프트,'036570,
주식,유가,KOSPI,대우인터내셔널,'047050,
주식,유가,KOSPI,제일모직,'001300,
주식,유가,KOSPI,동부화재,'005830,
주식,유가,KOSPI,현대차우,'005385,
주식,유가,KOSPI,호텔신라,'008770,
주식,유가,KOSPI,삼성증권,'016360,
주식,유가,KOSPI,두산중공업,'034020,
주식,유가,KOSPI,대우건설,'047040,
