Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
TXG,"10x Genomics, Inc.",79.54,$7.65B,2019,Capital Goods,Biotechnology: Laboratory Analytical Instruments,https://old.nasdaq.com/symbol/txg
YI,"111, Inc.",5.15,$424.61M,2018,Health Care,Medical/Nursing Services,https://old.nasdaq.com/symbol/yi
PIH,"1347 Property Insurance Holdings, Inc.",5.2396,$31.96M,2014,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/pih
PIHPP,"1347 Property Insurance Holdings, Inc.",26.51,$18.56M,n/a,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/pihpp
TURN,180 Degree Capital Corp.,2.13,$66.29M,n/a,Finance,Finance/Investors Services,https://old.nasdaq.com/symbol/turn
FLWS,"1-800 FLOWERS.COM, Inc.",14.045,$907.17M,1999,Consumer Services,Other Specialty Stores,https://old.nasdaq.com/symbol/flws
BCOW,"1895 Bancorp of Wisconsin, Inc.",10.56,$51.5M,2019,Finance,Banks,https://old.nasdaq.com/symbol/bcow
FCCY,1st Constitution Bancorp (NJ),21.65,$220.65M,n/a,Finance,Savings Institutions,https://old.nasdaq.com/symbol/fccy
SRCE,1st Source Corporation,52.74,$1.35B,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/srce
VNET,"21Vianet Group, Inc.",6.73,$756.4M,2011,Technology,"Computer Software: Programming, Data Processing",https://old.nasdaq.com/symbol/vnet
TWOU,"2U, Inc.",25,$1.59B,2014,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/twou
QFIN,"360 Finance, Inc.",9.04,$1.37B,2018,Finance,Finance: Consumer Services,https://old.nasdaq.com/symbol/qfin
KRKR,36Kr Holdings Inc.,7.7002,$288.71M,2019,Miscellaneous,Business Services,https://old.nasdaq.com/symbol/krkr
JOBS,"51job, Inc.",85.71,$5.69B,2004,Technology,Diversified Commercial Services,https://old.nasdaq.com/symbol/jobs
ETNB,"89bio, Inc.",26.88,$349.26M,2019,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/etnb
JFK,8i Enterprises Acquisition Corp,10.01,$74.35M,2019,Finance,Business Services,https://old.nasdaq.com/symbol/jfk
JFKKR,8i Enterprises Acquisition Corp,0.3801,n/a,2019,Finance,Business Services,https://old.nasdaq.com/symbol/jfkkr
JFKKU,8i Enterprises Acquisition Corp,10.5,$52.5M,2019,Finance,Business Services,https://old.nasdaq.com/symbol/jfkku
JFKKW,8i Enterprises Acquisition Corp,0.331,$1.9M,2019,Finance,Business Services,https://old.nasdaq.com/symbol/jfkkw
EGHT,8x8 Inc,18.38,$1.84B,n/a,Technology,EDP Services,https://old.nasdaq.com/symbol/eght
JFU,9F Inc.,9.52,$1.85B,2019,Finance,Finance: Consumer Services,https://old.nasdaq.com/symbol/jfu
AAON,"AAON, Inc.",49.96,$2.6B,n/a,Capital Goods,Industrial Machinery/Components,https://old.nasdaq.com/symbol/aaon
ABEO,Abeona Therapeutics Inc.,3.63,$185.69M,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/abeo
ABIL,Ability Inc.,0.5342,$4.29M,2014,Capital Goods,Telecommunications Equipment,https://old.nasdaq.com/symbol/abil
ABMD,"ABIOMED, Inc.",170.44,$7.7B,n/a,Health Care,Medical/Dental Instruments,https://old.nasdaq.com/symbol/abmd
AXAS,Abraxas Petroleum Corporation,0.4086,$68.81M,n/a,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/axas
ACIU,AC Immune SA,8.2,$552.37M,2016,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/aciu
ACIA,"Acacia Communications, Inc.",67.65,$2.79B,2016,Technology,Semiconductors,https://old.nasdaq.com/symbol/acia
ACTG,Acacia Research Corporation,2.61,$131.4M,n/a,Miscellaneous,Multi-Sector Companies,https://old.nasdaq.com/symbol/actg
ACHC,"Acadia Healthcare Company, Inc.",33.18,$2.94B,n/a,Health Care,Medical Specialities,https://old.nasdaq.com/symbol/achc
ACAD,ACADIA Pharmaceuticals Inc.,44.57,$6.86B,1985,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/acad
ACAM,Acamar Partners Acquisition Corp.,9.99,$381.58M,2019,Finance,Business Services,https://old.nasdaq.com/symbol/acam
ACAMU,Acamar Partners Acquisition Corp.,10.1789,n/a,2019,Finance,Business Services,https://old.nasdaq.com/symbol/acamu
ACAMW,Acamar Partners Acquisition Corp.,0.7,n/a,2019,Finance,Business Services,https://old.nasdaq.com/symbol/acamw
ACST,"Acasti Pharma, Inc.",2.18,$185.73M,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/acst
AXDX,"Accelerate Diagnostics, Inc.",17.35,$948.09M,n/a,Capital Goods,Biotechnology: Laboratory Analytical Instruments,https://old.nasdaq.com/symbol/axdx
ACCP,"Accelerated Pharma, Inc.",n/a,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/accp
XLRN,Acceleron Pharma Inc.,52.25,$2.77B,2013,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/xlrn
ARAY,Accuray Incorporated,2.76,$245.71M,2007,Health Care,Medical/Dental Instruments,https://old.nasdaq.com/symbol/aray
ACRX,"AcelRx Pharmaceuticals, Inc.",2.2,$175.06M,2011,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/acrx
ACER,Acer Therapeutics Inc.,3.89,$39.27M,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/acer
ACHV,"Achieve Life Sciences, Inc. ",0.4933,$4.12M,n/a,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,https://old.nasdaq.com/symbol/achv
ACHN,"Achillion Pharmaceuticals, Inc.",6.15,$861.56M,2006,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/achn
ACIW,"ACI Worldwide, Inc.",37.685,$4.36B,n/a,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/aciw
ACRS,"Aclaris Therapeutics, Inc.",1.82,$75.33M,2015,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/acrs
ACMR,"ACM Research, Inc.",19.62,$357.02M,2017,Technology,Industrial Machinery/Components,https://old.nasdaq.com/symbol/acmr
ACNB,ACNB Corporation,37.3,$263.88M,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/acnb
ACOR,"Acorda Therapeutics, Inc.",1.78,$85.49M,2006,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/acor
ACTT,Act II Global Acquisition Corp.,10.13,$379.88M,2019,Finance,Business Services,https://old.nasdaq.com/symbol/actt
ACTTU,Act II Global Acquisition Corp.,10.62,n/a,2019,Finance,Business Services,https://old.nasdaq.com/symbol/acttu
ACTTW,Act II Global Acquisition Corp.,1.1,$23.93M,2019,Finance,Business Services,https://old.nasdaq.com/symbol/acttw
ATVI,"Activision Blizzard, Inc",58.89,$45.24B,n/a,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/atvi
ADMS,"Adamas Pharmaceuticals, Inc.",3.65,$101.68M,2014,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/adms
ADMP,Adamis Pharmaceuticals Corporation,0.6694,$41.26M,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/admp
AHCO,AdaptHealth Corp. ,10.4,$753.06M,2018,Health Care,Medical/Nursing Services,https://old.nasdaq.com/symbol/ahco
ADAP,Adaptimmune Therapeutics plc,1.33,$139.87M,2015,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/adap
ADPT,Adaptive Biotechnologies Corporation,32.14,$4B,2019,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/adpt
ADUS,Addus HomeCare Corporation,92.18,$1.43B,2009,Health Care,Medical/Nursing Services,https://old.nasdaq.com/symbol/adus
AEY,"ADDvantage Technologies Group, Inc.",2.28,$23.62M,n/a,Consumer Services,Office Equipment/Supplies/Services,https://old.nasdaq.com/symbol/aey
IOTS,Adesto Technologies Corporation,7.23,$218.78M,2015,Technology,Semiconductors,https://old.nasdaq.com/symbol/iots
ADIL,"Adial Pharmaceuticals, Inc",2.1702,$22.39M,2018,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/adil
ADILW,"Adial Pharmaceuticals, Inc",0.1407,n/a,2018,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/adilw
ADMA,ADMA Biologics Inc,4.22,$250.32M,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/adma
ADBE,Adobe Inc.,328.95,$158.67B,1986,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/adbe
ADTN,"ADTRAN, Inc.",9.62,$460.09M,1994,Public Utilities,Telecommunications Equipment,https://old.nasdaq.com/symbol/adtn
ADRO,"Aduro Biotech, Inc.",1.11,$89.37M,2015,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/adro
ADES,"Advanced Emissions Solutions, Inc.",10.52,$195.56M,n/a,Basic Industries,Major Chemicals,https://old.nasdaq.com/symbol/ades
AEIS,"Advanced Energy Industries, Inc.",71.3,$2.73B,1995,Capital Goods,Industrial Machinery/Components,https://old.nasdaq.com/symbol/aeis
AMD,"Advanced Micro Devices, Inc.",45.46,$53.05B,n/a,Technology,Semiconductors,https://old.nasdaq.com/symbol/amd
ADXS,"Advaxis, Inc.",0.5993,$14.81M,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/adxs
ADVM,"Adverum Biotechnologies, Inc.",11.06,$714.34M,2014,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/advm
DWMC,AdvisorShares Dorsey Wright Micro-Cap ETF,23.82,$2.38M,n/a,n/a,n/a,https://old.nasdaq.com/symbol/dwmc
DWSH,AdvisorShares Dorsey Wright Short ETF,22.71,$45.42M,n/a,n/a,n/a,https://old.nasdaq.com/symbol/dwsh
ACT,AdvisorShares Vice ETF,25.6,$12.8M,n/a,n/a,n/a,https://old.nasdaq.com/symbol/act
AEGN,Aegion Corp,22.47,$691.16M,n/a,Basic Industries,Water Supply,https://old.nasdaq.com/symbol/aegn
AGLE,"Aeglea BioTherapeutics, Inc.",7.79,$225.8M,2016,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/agle
AEHR,Aehr Test Systems,1.9,$43.21M,1997,Capital Goods,Electrical Products,https://old.nasdaq.com/symbol/aehr
AMTX,"Aemetis, Inc",0.939,$19.32M,n/a,Basic Industries,Major Chemicals,https://old.nasdaq.com/symbol/amtx
AERI,"Aerie Pharmaceuticals, Inc.",24.11,$1.12B,2013,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/aeri
AVAV,"AeroVironment, Inc.",64.35,$1.54B,2007,Capital Goods,Aerospace,https://old.nasdaq.com/symbol/avav
ARPO,"Aerpio Pharmaceuticals, Inc.",0.5525,$22.42M,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/arpo
AIH,Aesthetic Medical International Holdings Group Ltd.,6.3905,$150.9M,2019,Health Care,Medical Specialities,https://old.nasdaq.com/symbol/aih
AEZS,AEterna Zentaris Inc.,0.82,$16.43M,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/aezs
AEMD,"Aethlon Medical, Inc.",0.855,$1.23M,n/a,Capital Goods,Biotechnology: Laboratory Analytical Instruments,https://old.nasdaq.com/symbol/aemd
GNMX,"Aevi Genomic Medicine, Inc.",0.15,$9.72M,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/gnmx
AFMD,Affimed N.V.,2.94,$224.11M,2014,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/afmd
AFYA,Afya Limited,27.56,$2.47B,2019,Consumer Services,Other Consumer Services,https://old.nasdaq.com/symbol/afya
AGBA,AGBA Acquisition Limited,10.1,$60.35M,2019,Finance,Business Services,https://old.nasdaq.com/symbol/agba
AGBAR,AGBA Acquisition Limited,0.22,n/a,2019,Finance,Business Services,https://old.nasdaq.com/symbol/agbar
AGBAU,AGBA Acquisition Limited,10.26,$61.3M,2019,Finance,Business Services,https://old.nasdaq.com/symbol/agbau
AGBAW,AGBA Acquisition Limited,0.07,n/a,2019,Finance,Business Services,https://old.nasdaq.com/symbol/agbaw
AGEN,Agenus Inc.,4.2,$576.92M,2000,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/agen
AGRX,"Agile Therapeutics, Inc.",2.68,$158.93M,2014,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/agrx
AGYS,"Agilysys, Inc.",25.58,$605.19M,n/a,Technology,EDP Services,https://old.nasdaq.com/symbol/agys
AGIO,"Agios Pharmaceuticals, Inc.",49.67,$3.4B,2013,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/agio
AGMH,AGM Group Holdings Inc.,15.15,$322.94M,2018,Technology,EDP Services,https://old.nasdaq.com/symbol/agmh
AGNC,AGNC Investment Corp.,17.72,$9.59B,2008,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/agnc
AGNCM,AGNC Investment Corp.,25.92,n/a,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/agncm
AGNCN,AGNC Investment Corp.,26.38,"$342,940 ",n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/agncn
AGNCO,AGNC Investment Corp.,25.98,$244.21M,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/agnco
AGFS,"AgroFresh Solutions, Inc.",2.73,$139.12M,2014,Finance,Business Services,https://old.nasdaq.com/symbol/agfs
AGFSW,"AgroFresh Solutions, Inc.",0.0054,n/a,2014,Finance,Business Services,https://old.nasdaq.com/symbol/agfsw
ALRN,"Aileron Therapeutics, Inc.",0.6056,$16.84M,2017,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/alrn
AIMT,"Aimmune Therapeutics, Inc.",32.085,$2.03B,2015,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/aimt
AIRT,"Air T, Inc.",21.5,$65.01M,n/a,Transportation,Air Freight/Delivery Services,https://old.nasdaq.com/symbol/airt
AIRTP,"Air T, Inc.",2.47,n/a,n/a,Transportation,Air Freight/Delivery Services,https://old.nasdaq.com/symbol/airtp
AIRTW,"Air T, Inc.",0.06,n/a,n/a,Transportation,Air Freight/Delivery Services,https://old.nasdaq.com/symbol/airtw
ATSG,"Air Transport Services Group, Inc",23.5,$1.4B,n/a,Transportation,Air Freight/Delivery Services,https://old.nasdaq.com/symbol/atsg
AIRG,"Airgain, Inc.",10.48,$101.62M,2016,Technology,Radio And Television Broadcasting And Communications Equipment,https://old.nasdaq.com/symbol/airg
ANTE,AirNet Technology Inc.,0.97,$12.19M,n/a,Technology,Advertising,https://old.nasdaq.com/symbol/ante
AKAM,"Akamai Technologies, Inc.",85.91,$13.88B,1999,Miscellaneous,Business Services,https://old.nasdaq.com/symbol/akam
AKTX,Akari Therapeutics Plc,1.74,$36.56M,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/aktx
SONG,Akazoo S.A.,5.05,$250.66M,n/a,Consumer Services,Broadcasting,https://old.nasdaq.com/symbol/song
SONGW,Akazoo S.A.,0.4,$2.47M,n/a,Consumer Services,Broadcasting,https://old.nasdaq.com/symbol/songw
AKCA,"Akcea Therapeutics, Inc.",18.45,$1.73B,2017,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/akca
AKBA,"Akebia Therapeutics, Inc.",6.61,$786.21M,2014,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/akba
KERN,Akerna Corp.,8.4,$92.05M,2018,Technology,EDP Services,https://old.nasdaq.com/symbol/kern
KERNW,Akerna Corp.,0.8618,n/a,2018,Technology,EDP Services,https://old.nasdaq.com/symbol/kernw
AKRO,"Akero Therapeutics, Inc.",21.72,$620.29M,2019,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/akro
AKER,Akers Biosciences Inc.,3.1512,$3.58M,2014,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,https://old.nasdaq.com/symbol/aker
AKRX,"Akorn, Inc.",1.64,$206.88M,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/akrx
AKTS,"Akoustis Technologies, Inc.",7.89,$285.33M,n/a,Public Utilities,Telecommunications Equipment,https://old.nasdaq.com/symbol/akts
ALRM,"Alarm.com Holdings, Inc.",42.97,$2.09B,2015,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/alrm
ALSK,"Alaska Communications Systems Group, Inc.",1.77,$93.83M,1999,Public Utilities,Telecommunications Equipment,https://old.nasdaq.com/symbol/alsk
ALAC,Alberton Acquisition Corporation,10.33,$151.75M,2018,Finance,Business Services,https://old.nasdaq.com/symbol/alac
ALACR,Alberton Acquisition Corporation,0.24,n/a,2018,Finance,Business Services,https://old.nasdaq.com/symbol/alacr
ALACU,Alberton Acquisition Corporation,10.6,n/a,2018,Finance,Business Services,https://old.nasdaq.com/symbol/alacu
ALACW,Alberton Acquisition Corporation,0.09,n/a,2018,Finance,Business Services,https://old.nasdaq.com/symbol/alacw
ALBO,"Albireo Pharma, Inc.",28.96,$367.4M,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/albo
ABDC,Alcentra Capital Corp.,9.15,$117.81M,n/a,n/a,n/a,https://old.nasdaq.com/symbol/abdc
ALDX,"Aldeyra Therapeutics, Inc.",5.6,$156.54M,2014,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/aldx
ALEC,"Alector, Inc.",19.5,$1.34B,2019,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/alec
ALRS,Alerus Financial Corporation,22.87,$389.92M,2019,Finance,Major Banks,https://old.nasdaq.com/symbol/alrs
ALXN,"Alexion Pharmaceuticals, Inc.",110.46,$24.44B,1996,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/alxn
ALCO,"Alico, Inc.",34.96,$261.33M,n/a,Consumer Non-Durables,Farming/Seeds/Milling,https://old.nasdaq.com/symbol/alco
ALIT,Alight Inc.,n/a,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/alit
ALGN,"Align Technology, Inc.",278.14,$21.92B,2001,Health Care,Industrial Specialties,https://old.nasdaq.com/symbol/algn
ALIM,"Alimera Sciences, Inc.",7.05,$34.99M,2010,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/alim
ALYA,Alithya Group inc.,2.9,$142.1M,n/a,Technology,"Computer Software: Programming, Data Processing",https://old.nasdaq.com/symbol/alya
ALJJ,"ALJ Regional Holdings, Inc.",1.2001,$50.31M,n/a,Miscellaneous,Business Services,https://old.nasdaq.com/symbol/aljj
ALKS,Alkermes plc,21.1,$3.32B,1991,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/alks
ALLK,Allakos Inc.,102.46,$4.99B,2018,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/allk
ABTX,"Allegiance Bancshares, Inc.",37.58,$782.06M,2015,Finance,Major Banks,https://old.nasdaq.com/symbol/abtx
ALGT,Allegiant Travel Company,180.06,$2.93B,2006,Transportation,Air Freight/Delivery Services,https://old.nasdaq.com/symbol/algt
ALGR,Allegro Merger Corp.,10.23,$194.98M,2018,Finance,Business Services,https://old.nasdaq.com/symbol/algr
ALGRR,Allegro Merger Corp.,0.35,n/a,2018,Finance,Business Services,https://old.nasdaq.com/symbol/algrr
ALGRU,Allegro Merger Corp.,10.63,n/a,2018,Finance,Business Services,https://old.nasdaq.com/symbol/algru
ALGRW,Allegro Merger Corp.,0.1887,n/a,2018,Finance,Business Services,https://old.nasdaq.com/symbol/algrw
ALNA,"Allena Pharmaceuticals, Inc.",2.24,$52.56M,2017,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/alna
ARLP,"Alliance Resource Partners, L.P.",10.64,$1.36B,1999,Energy,Coal Mining,https://old.nasdaq.com/symbol/arlp
LNT,Alliant Energy Corporation,54.3,$13.05B,n/a,Public Utilities,Power Generation,https://old.nasdaq.com/symbol/lnt
AESE,"Allied Esports Entertainment, Inc.",2.61,$60.49M,2017,Consumer Services,Services-Misc. Amusement & Recreation,https://old.nasdaq.com/symbol/aese
AHPI,"Allied Healthcare Products, Inc.",1.07,$4.29M,1992,Health Care,Industrial Specialties,https://old.nasdaq.com/symbol/ahpi
AMOT,"Allied Motion Technologies, Inc.",47.17,$452.83M,n/a,Capital Goods,Electrical Products,https://old.nasdaq.com/symbol/amot
ALLO,"Allogene Therapeutics, Inc.",26.77,$3.26B,2018,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/allo
ALLT,Allot Ltd.,8.25,$283.4M,2006,Technology,Computer Communications Equipment,https://old.nasdaq.com/symbol/allt
MDRX,"Allscripts Healthcare Solutions, Inc.",9.84,$1.6B,n/a,Technology,EDP Services,https://old.nasdaq.com/symbol/mdrx
ALNY,"Alnylam Pharmaceuticals, Inc.",117.33,$13.08B,2004,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/alny
AOSL,Alpha and Omega Semiconductor Limited,13.93,$342.02M,2010,Technology,Semiconductors,https://old.nasdaq.com/symbol/aosl
GOOG,Alphabet Inc.,1348.84,$930.28B,2004,Technology,"Computer Software: Programming, Data Processing",https://old.nasdaq.com/symbol/goog
GOOGL,Alphabet Inc.,1350.63,$931.51B,n/a,Technology,"Computer Software: Programming, Data Processing",https://old.nasdaq.com/symbol/googl
SMCP,AlphaMark Actively Managed Small Cap ETF,25.1987,$22.68M,n/a,n/a,n/a,https://old.nasdaq.com/symbol/smcp
ATEC,"Alphatec Holdings, Inc.",7.05,$432.6M,2006,Health Care,Medical/Dental Instruments,https://old.nasdaq.com/symbol/atec
ALPN,"Alpine Immune Sciences, Inc.",3.64,$67.66M,2015,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/alpn
